specialite,zone_inscription,effectifs
Chirurgie generale,Ardennes,16
Chirurgie maxillo-faciale et stomatologie,Ardennes,2
Chirurgie orthopedique et traumatologie,Ardennes,8
Chirurgie infantile,Ardennes,0
Chirurgie plastique reconstructrice et esthetique,Ardennes,0
Chirurgie thoracique et cardio-vasculaire,Ardennes,0
Chirurgie urologique,Ardennes,2
Chirurgie vasculaire,Ardennes,2
Chirurgie viscerale et digestive,Ardennes,1
Dermatologie et venereologie,Ardennes,6
Endocrinologie et metabolisme,Ardennes,3
Genetique medicale,Ardennes,0
Geriatrie,Ardennes,7
Gynecologie medicale,Ardennes,9
Gynecologie-obstetrique,Ardennes,10
Hematologie,Ardennes,0
Gastro-enterologie et hepatologie,Ardennes,8
Medecine du travail,Ardennes,17
Medecine interne,Ardennes,4
Medecine nucleaire,Ardennes,2
Medecine physique et readaptation,Ardennes,5
Nephrologie,Ardennes,4
Neuro-chirurgie,Ardennes,0
Neurologie,Ardennes,2
O.R.L et chirurgie cervico faciale,Ardennes,7
Oncologie option medicale,Ardennes,0
Ophtalmologie,Ardennes,11
Pediatrie,Ardennes,19
Pneumologie,Ardennes,8
Psychiatrie,Ardennes,26
Radio-diagnostic et imagerie medicale,Ardennes,22
Radio-therapie,Ardennes,2
Reanimation medicale,Ardennes,1
Recherche medicale,Ardennes,0
Rhumatologie,Ardennes,7
Sante publique et medecine sociale,Ardennes,4
Generalistes,Ardennes,386
Medecine generale,Ardennes,386
Ensemble des specialites d'exercice,Ariege,439
Specialistes,Ariege,168
Anatomie et cytologie pathologiques,Ariege,0
Anesthesie-reanimation,Ariege,13
Biologie medicale,Ariege,3
Cardiologie et maladies vasculaires,Ariege,8
Chirurgie generale,Ariege,6
Chirurgie maxillo-faciale et stomatologie,Ariege,1
Chirurgie orthopedique et traumatologie,Ariege,5
Chirurgie infantile,Ariege,0
Chirurgie plastique reconstructrice et esthetique,Ariege,0
Chirurgie thoracique et cardio-vasculaire,Ariege,0
Chirurgie urologique,Ariege,0
Chirurgie vasculaire,Ariege,0
Chirurgie viscerale et digestive,Ariege,2
Dermatologie et venereologie,Ariege,4
Endocrinologie et metabolisme,Ariege,3
Genetique medicale,Ariege,0
Geriatrie,Ariege,5
Gynecologie medicale,Ariege,7
Gynecologie-obstetrique,Ariege,5
Hematologie,Ariege,0
Gastro-enterologie et hepatologie,Ariege,6
Medecine du travail,Ariege,6
Medecine interne,Ariege,2
Medecine nucleaire,Ariege,0
Medecine physique et readaptation,Ariege,4
Nephrologie,Ariege,5
Neuro-chirurgie,Ariege,0
Neurologie,Ariege,2
O.R.L et chirurgie cervico faciale,Ariege,5
Oncologie option medicale,Ariege,2
Ophtalmologie,Ariege,8
Pediatrie,Ariege,10
Pneumologie,Ariege,6
Psychiatrie,Ariege,24
Radio-diagnostic et imagerie medicale,Ariege,15
Radio-therapie,Ariege,0
Reanimation medicale,Ariege,3
Recherche medicale,Ariege,0
Rhumatologie,Ariege,6
Sante publique et medecine sociale,Ariege,2
Generalistes,Ariege,271
Medecine generale,Ariege,271
Ensemble des specialites d'exercice,Ariege,433
Specialistes,Ariege,165
Anatomie et cytologie pathologiques,Ariege,0
Anesthesie-reanimation,Ariege,13
Biologie medicale,Ariege,4
Cardiologie et maladies vasculaires,Ariege,9
Chirurgie generale,Ariege,7
Chirurgie maxillo-faciale et stomatologie,Ariege,2
Chirurgie orthopedique et traumatologie,Ariege,5
Chirurgie infantile,Ariege,0
Chirurgie plastique reconstructrice et esthetique,Ariege,0
Chirurgie thoracique et cardio-vasculaire,Ariege,0
Chirurgie urologique,Ariege,0
Chirurgie vasculaire,Ariege,0
Chirurgie viscerale et digestive,Ariege,1
Dermatologie et venereologie,Ariege,4
Endocrinologie et metabolisme,Ariege,3
Genetique medicale,Ariege,0
Geriatrie,Ariege,7
Gynecologie medicale,Ariege,8
Gynecologie-obstetrique,Ariege,5
Hematologie,Ariege,0
Gastro-enterologie et hepatologie,Ariege,6
Medecine du travail,Ariege,6
Medecine interne,Ariege,2
Medecine nucleaire,Ariege,0
Medecine physique et readaptation,Ariege,5
Nephrologie,Ariege,4
Neuro-chirurgie,Ariege,0
Neurologie,Ariege,1
O.R.L et chirurgie cervico faciale,Ariege,5
Oncologie option medicale,Ariege,2
Ophtalmologie,Ariege,7
Pediatrie,Ariege,8
Pneumologie,Ariege,7
Psychiatrie,Ariege,18
Radio-diagnostic et imagerie medicale,Ariege,15
Radio-therapie,Ariege,0
Reanimation medicale,Ariege,3
Recherche medicale,Ariege,0
Rhumatologie,Ariege,6
Sante publique et medecine sociale,Ariege,2
Generalistes,Ariege,268
Medecine generale,Ariege,268
Ensemble des specialites d'exercice,Aube,734
Specialistes,Aube,355
Anatomie et cytologie pathologiques,Aube,6
Anesthesie-reanimation,Aube,30
Biologie medicale,Aube,7
Cardiologie et maladies vasculaires,Aube,21
Chirurgie generale,Aube,12
Chirurgie maxillo-faciale et stomatologie,Aube,4
Chirurgie orthopedique et traumatologie,Aube,15
Chirurgie infantile,Aube,0
Chirurgie plastique reconstructrice et esthetique,Aube,3
Chirurgie thoracique et cardio-vasculaire,Aube,0
Chirurgie urologique,Aube,8
Chirurgie vasculaire,Aube,3
Chirurgie viscerale et digestive,Aube,2
Dermatologie et venereologie,Aube,11
Endocrinologie et metabolisme,Aube,6
Genetique medicale,Aube,0
Geriatrie,Aube,7
Gynecologie medicale,Aube,14
Gynecologie-obstetrique,Aube,15
Hematologie,Aube,1
Gastro-enterologie et hepatologie,Aube,14
Medecine du travail,Aube,23
Medecine interne,Aube,3
Medecine nucleaire,Aube,2
Medecine physique et readaptation,Aube,7
Nephrologie,Aube,3
Neuro-chirurgie,Aube,0
Neurologie,Aube,6
O.R.L et chirurgie cervico faciale,Aube,8
Oncologie option medicale,Aube,0
Ophtalmologie,Aube,20
Pediatrie,Aube,18
Pneumologie,Aube,10
Psychiatrie,Aube,38
Radio-diagnostic et imagerie medicale,Aube,24
Radio-therapie,Aube,4
Reanimation medicale,Aube,1
Recherche medicale,Aube,0
Rhumatologie,Aube,7
Sante publique et medecine sociale,Aube,2
Generalistes,Aube,379
Medecine generale,Aube,379
Ensemble des specialites d'exercice,Aube,725
Specialistes,Aube,346
Anatomie et cytologie pathologiques,Aube,6
Anesthesie-reanimation,Aube,26
Biologie medicale,Aube,8
Cardiologie et maladies vasculaires,Aube,20
Chirurgie generale,Aube,11
Chirurgie maxillo-faciale et stomatologie,Aube,4
Chirurgie orthopedique et traumatologie,Aube,15
Chirurgie infantile,Aube,0
Chirurgie plastique reconstructrice et esthetique,Aube,2
Chirurgie thoracique et cardio-vasculaire,Aube,0
Chirurgie urologique,Aube,7
Chirurgie vasculaire,Aube,3
Chirurgie viscerale et digestive,Aube,2
Dermatologie et venereologie,Aube,11
Endocrinologie et metabolisme,Aube,6
Genetique medicale,Aube,0
Geriatrie,Aube,9
Gynecologie medicale,Aube,13
Gynecologie-obstetrique,Aube,16
Hematologie,Aube,0
Gastro-enterologie et hepatologie,Aube,15
Medecine du travail,Aube,23
Medecine interne,Aube,3
Medecine nucleaire,Aube,2
Medecine physique et readaptation,Aube,6
Nephrologie,Aube,4
Neuro-chirurgie,Aube,0
Neurologie,Aube,5
O.R.L et chirurgie cervico faciale,Aube,8
Oncologie option medicale,Aube,0
Ophtalmologie,Aube,19
Pediatrie,Aube,17
Pneumologie,Aube,10
Psychiatrie,Aube,36
Radio-diagnostic et imagerie medicale,Aube,25
Radio-therapie,Aube,4
Reanimation medicale,Aube,1
Recherche medicale,Aube,0
Rhumatologie,Aube,7
Sante publique et medecine sociale,Aube,2
Generalistes,Aube,379
Medecine generale,Aube,379
Ensemble des specialites d'exercice,Aude,1083
Specialistes,Aude,516
Anatomie et cytologie pathologiques,Aude,5
Anesthesie-reanimation,Aude,52
Biologie medicale,Aude,13
Cardiologie et maladies vasculaires,Aude,36
Chirurgie generale,Aude,11
Chirurgie maxillo-faciale et stomatologie,Aude,7
Chirurgie orthopedique et traumatologie,Aude,17
Chirurgie infantile,Aude,0
Chirurgie plastique reconstructrice et esthetique,Aude,1
Chirurgie thoracique et cardio-vasculaire,Aude,2
Chirurgie urologique,Aude,5
Chirurgie vasculaire,Aude,4
Chirurgie viscerale et digestive,Aude,8
Dermatologie et venereologie,Aude,17
Endocrinologie et metabolisme,Aude,11
Genetique medicale,Aude,0
Geriatrie,Aude,7
Gynecologie medicale,Aude,15
Gynecologie-obstetrique,Aude,14
Hematologie,Aude,3
Gastro-enterologie et hepatologie,Aude,17
Medecine du travail,Aude,18
Medecine interne,Aude,6
Medecine nucleaire,Aude,2
Medecine physique et readaptation,Aude,11
Nephrologie,Aude,9
Neuro-chirurgie,Aude,0
Neurologie,Aude,11
O.R.L et chirurgie cervico faciale,Aude,11
Oncologie option medicale,Aude,1
Ophtalmologie,Aude,27
Pediatrie,Aude,27
Pneumologie,Aude,13
Psychiatrie,Aude,56
Radio-diagnostic et imagerie medicale,Aude,53
Radio-therapie,Aude,5
Reanimation medicale,Aude,1
Recherche medicale,Aude,0
Rhumatologie,Aude,18
Sante publique et medecine sociale,Aude,2
Generalistes,Aude,567
Medecine generale,Aude,567
Ensemble des specialites d'exercice,Aude,1098
Specialistes,Aude,519
Anatomie et cytologie pathologiques,Aude,6
Anesthesie-reanimation,Aude,52
Biologie medicale,Aude,15
Cardiologie et maladies vasculaires,Aude,34
Chirurgie generale,Aude,11
Chirurgie maxillo-faciale et stomatologie,Aude,9
Chirurgie orthopedique et traumatologie,Aude,18
Chirurgie infantile,Aude,0
Chirurgie plastique reconstructrice et esthetique,Aude,1
Chirurgie thoracique et cardio-vasculaire,Aude,2
Chirurgie urologique,Aude,5
Chirurgie vasculaire,Aude,5
Chirurgie viscerale et digestive,Aude,7
Dermatologie et venereologie,Aude,16
Endocrinologie et metabolisme,Aude,10
Genetique medicale,Aude,0
Geriatrie,Aude,7
Gynecologie medicale,Aude,16
Gynecologie-obstetrique,Aude,11
Hematologie,Aude,3
Gastro-enterologie et hepatologie,Aude,18
Medecine du travail,Aude,19
Medecine interne,Aude,7
Medecine nucleaire,Aude,2
Medecine physique et readaptation,Aude,9
Nephrologie,Aude,8
Neuro-chirurgie,Aude,0
Neurologie,Aude,11
O.R.L et chirurgie cervico faciale,Aude,10
Oncologie option medicale,Aude,1
Ophtalmologie,Aude,28
Pediatrie,Aude,27
Pneumologie,Aude,14
Psychiatrie,Aude,56
Radio-diagnostic et imagerie medicale,Aude,54
Radio-therapie,Aude,6
Reanimation medicale,Aude,1
Recherche medicale,Aude,0
Rhumatologie,Aude,18
Sante publique et medecine sociale,Aude,2
Generalistes,Aude,579
Medecine generale,Aude,579
Ensemble des specialites d'exercice,Aveyron,738
Specialistes,Aveyron,329
Anatomie et cytologie pathologiques,Aveyron,3
Anesthesie-reanimation,Aveyron,27
Biologie medicale,Aveyron,4
Cardiologie et maladies vasculaires,Aveyron,24
Chirurgie generale,Aveyron,13
Chirurgie maxillo-faciale et stomatologie,Aveyron,6
Chirurgie orthopedique et traumatologie,Aveyron,12
Chirurgie infantile,Aveyron,0
Chirurgie plastique reconstructrice et esthetique,Aveyron,0
Chirurgie thoracique et cardio-vasculaire,Aveyron,0
Chirurgie urologique,Aveyron,4
Chirurgie vasculaire,Aveyron,2
Chirurgie viscerale et digestive,Aveyron,2
Dermatologie et venereologie,Aveyron,8
Endocrinologie et metabolisme,Aveyron,6
Genetique medicale,Aveyron,0
Geriatrie,Aveyron,7
Gynecologie medicale,Aveyron,10
Gynecologie-obstetrique,Aveyron,6
Hematologie,Aveyron,0
Gastro-enterologie et hepatologie,Aveyron,11
Medecine du travail,Aveyron,15
Medecine interne,Aveyron,6
Medecine nucleaire,Aveyron,2
Medecine physique et readaptation,Aveyron,9
Nephrologie,Aveyron,4
Neuro-chirurgie,Aveyron,0
Neurologie,Aveyron,8
O.R.L et chirurgie cervico faciale,Aveyron,7
Oncologie option medicale,Aveyron,2
Ophtalmologie,Aveyron,17
Pediatrie,Aveyron,17
Pneumologie,Aveyron,13
Psychiatrie,Aveyron,40
Radio-diagnostic et imagerie medicale,Aveyron,28
Radio-therapie,Aveyron,3
Reanimation medicale,Aveyron,2
Recherche medicale,Aveyron,0
Rhumatologie,Aveyron,9
Sante publique et medecine sociale,Aveyron,2
Generalistes,Aveyron,409
Medecine generale,Aveyron,409
Ensemble des specialites d'exercice,Aveyron,760
Specialistes,Aveyron,329
Anatomie et cytologie pathologiques,Aveyron,3
Anesthesie-reanimation,Aveyron,25
Biologie medicale,Aveyron,4
Cardiologie et maladies vasculaires,Aveyron,25
Chirurgie generale,Aveyron,14
Chirurgie maxillo-faciale et stomatologie,Aveyron,7
Chirurgie orthopedique et traumatologie,Aveyron,11
Chirurgie infantile,Aveyron,0
Chirurgie plastique reconstructrice et esthetique,Aveyron,0
Chirurgie thoracique et cardio-vasculaire,Aveyron,0
Chirurgie urologique,Aveyron,3
Chirurgie vasculaire,Aveyron,2
Chirurgie viscerale et digestive,Aveyron,1
Dermatologie et venereologie,Aveyron,8
Endocrinologie et metabolisme,Aveyron,6
Genetique medicale,Aveyron,0
Geriatrie,Aveyron,7
Gynecologie medicale,Aveyron,12
Gynecologie-obstetrique,Aveyron,6
Hematologie,Aveyron,0
Gastro-enterologie et hepatologie,Aveyron,11
Medecine du travail,Aveyron,14
Medecine interne,Aveyron,6
Medecine nucleaire,Aveyron,2
Medecine physique et readaptation,Aveyron,10
Nephrologie,Aveyron,3
Neuro-chirurgie,Aveyron,0
Neurologie,Aveyron,8
O.R.L et chirurgie cervico faciale,Aveyron,7
Oncologie option medicale,Aveyron,1
Ophtalmologie,Aveyron,20
Pediatrie,Aveyron,16
Pneumologie,Aveyron,13
Psychiatrie,Aveyron,43
Radio-diagnostic et imagerie medicale,Aveyron,24
Radio-therapie,Aveyron,3
Reanimation medicale,Aveyron,2
Recherche medicale,Aveyron,0
Rhumatologie,Aveyron,10
Sante publique et medecine sociale,Aveyron,2
Generalistes,Aveyron,431
Medecine generale,Aveyron,431
Ensemble des specialites d'exercice,Bouches-du-Rhone,8832
Specialistes,Bouches-du-Rhone,5094
Anatomie et cytologie pathologiques,Bouches-du-Rhone,69
Anesthesie-reanimation,Bouches-du-Rhone,529
Biologie medicale,Bouches-du-Rhone,119
Cardiologie et maladies vasculaires,Bouches-du-Rhone,337
Chirurgie generale,Bouches-du-Rhone,144
Chirurgie maxillo-faciale et stomatologie,Bouches-du-Rhone,65
Chirurgie orthopedique et traumatologie,Bouches-du-Rhone,114
Chirurgie infantile,Bouches-du-Rhone,22
Chirurgie plastique reconstructrice et esthetique,Bouches-du-Rhone,57
Chirurgie thoracique et cardio-vasculaire,Bouches-du-Rhone,17
Chirurgie urologique,Bouches-du-Rhone,36
Chirurgie vasculaire,Bouches-du-Rhone,28
Chirurgie viscerale et digestive,Bouches-du-Rhone,33
Dermatologie et venereologie,Bouches-du-Rhone,204
Endocrinologie et metabolisme,Bouches-du-Rhone,81
Genetique medicale,Bouches-du-Rhone,15
Geriatrie,Bouches-du-Rhone,22
Gynecologie medicale,Bouches-du-Rhone,153
Gynecologie-obstetrique,Bouches-du-Rhone,175
Hematologie,Bouches-du-Rhone,21
Gastro-enterologie et hepatologie,Bouches-du-Rhone,138
Medecine du travail,Bouches-du-Rhone,227
Medecine interne,Bouches-du-Rhone,86
Medecine nucleaire,Bouches-du-Rhone,25
Medecine physique et readaptation,Bouches-du-Rhone,89
Nephrologie,Bouches-du-Rhone,51
Neuro-chirurgie,Bouches-du-Rhone,27
Neurologie,Bouches-du-Rhone,93
O.R.L et chirurgie cervico faciale,Bouches-du-Rhone,129
Oncologie option medicale,Bouches-du-Rhone,39
Ophtalmologie,Bouches-du-Rhone,260
Pediatrie,Bouches-du-Rhone,339
Pneumologie,Bouches-du-Rhone,111
Psychiatrie,Bouches-du-Rhone,688
Radio-diagnostic et imagerie medicale,Bouches-du-Rhone,334
Radio-therapie,Bouches-du-Rhone,29
Reanimation medicale,Bouches-du-Rhone,13
Recherche medicale,Bouches-du-Rhone,1
Rhumatologie,Bouches-du-Rhone,100
Sante publique et medecine sociale,Bouches-du-Rhone,74
Generalistes,Bouches-du-Rhone,3738
Medecine generale,Bouches-du-Rhone,3738
Ensemble des specialites d'exercice,Bouches-du-Rhone,8855
Specialistes,Bouches-du-Rhone,5075
Anatomie et cytologie pathologiques,Bouches-du-Rhone,69
Anesthesie-reanimation,Bouches-du-Rhone,523
Biologie medicale,Bouches-du-Rhone,134
Cardiologie et maladies vasculaires,Bouches-du-Rhone,336
Chirurgie generale,Bouches-du-Rhone,141
Chirurgie maxillo-faciale et stomatologie,Bouches-du-Rhone,63
Chirurgie orthopedique et traumatologie,Bouches-du-Rhone,110
Chirurgie infantile,Bouches-du-Rhone,20
Chirurgie plastique reconstructrice et esthetique,Bouches-du-Rhone,56
Chirurgie thoracique et cardio-vasculaire,Bouches-du-Rhone,16
Chirurgie urologique,Bouches-du-Rhone,36
Chirurgie vasculaire,Bouches-du-Rhone,28
Chirurgie viscerale et digestive,Bouches-du-Rhone,31
Dermatologie et venereologie,Bouches-du-Rhone,204
Endocrinologie et metabolisme,Bouches-du-Rhone,79
Genetique medicale,Bouches-du-Rhone,15
Geriatrie,Bouches-du-Rhone,24
Gynecologie medicale,Bouches-du-Rhone,161
Gynecologie-obstetrique,Bouches-du-Rhone,170
Hematologie,Bouches-du-Rhone,19
Gastro-enterologie et hepatologie,Bouches-du-Rhone,137
Medecine du travail,Bouches-du-Rhone,225
Medecine interne,Bouches-du-Rhone,90
Medecine nucleaire,Bouches-du-Rhone,22
Medecine physique et readaptation,Bouches-du-Rhone,91
Nephrologie,Bouches-du-Rhone,52
Neuro-chirurgie,Bouches-du-Rhone,27
Neurologie,Bouches-du-Rhone,91
O.R.L et chirurgie cervico faciale,Bouches-du-Rhone,124
Oncologie option medicale,Bouches-du-Rhone,37
Ophtalmologie,Bouches-du-Rhone,255
Pediatrie,Bouches-du-Rhone,340
Pneumologie,Bouches-du-Rhone,111
Psychiatrie,Bouches-du-Rhone,684
Radio-diagnostic et imagerie medicale,Bouches-du-Rhone,335
Radio-therapie,Bouches-du-Rhone,28
Reanimation medicale,Bouches-du-Rhone,12
Recherche medicale,Bouches-du-Rhone,1
Rhumatologie,Bouches-du-Rhone,105
Sante publique et medecine sociale,Bouches-du-Rhone,73
Generalistes,Bouches-du-Rhone,3780
Medecine generale,Bouches-du-Rhone,3780
Ensemble des specialites d'exercice,Calvados,2410
Specialistes,Calvados,1300
Anatomie et cytologie pathologiques,Calvados,19
Anesthesie-reanimation,Calvados,127
Biologie medicale,Calvados,25
Cardiologie et maladies vasculaires,Calvados,79
Chirurgie generale,Calvados,47
Chirurgie maxillo-faciale et stomatologie,Calvados,22
Chirurgie orthopedique et traumatologie,Calvados,29
Chirurgie infantile,Calvados,4
Chirurgie plastique reconstructrice et esthetique,Calvados,4
Chirurgie thoracique et cardio-vasculaire,Calvados,6
Chirurgie urologique,Calvados,10
Chirurgie vasculaire,Calvados,9
Chirurgie viscerale et digestive,Calvados,14
Dermatologie et venereologie,Calvados,40
Endocrinologie et metabolisme,Calvados,17
Genetique medicale,Calvados,3
Geriatrie,Calvados,11
Gynecologie medicale,Calvados,28
Gynecologie-obstetrique,Calvados,51
Hematologie,Calvados,8
Gastro-enterologie et hepatologie,Calvados,42
Medecine du travail,Calvados,67
Medecine interne,Calvados,17
Medecine nucleaire,Calvados,11
Medecine physique et readaptation,Calvados,22
Nephrologie,Calvados,15
Neuro-chirurgie,Calvados,11
Neurologie,Calvados,27
O.R.L et chirurgie cervico faciale,Calvados,36
Oncologie option medicale,Calvados,13
Ophtalmologie,Calvados,63
Pediatrie,Calvados,91
Pneumologie,Calvados,35
Psychiatrie,Calvados,138
Radio-diagnostic et imagerie medicale,Calvados,97
Radio-therapie,Calvados,18
Reanimation medicale,Calvados,1
Recherche medicale,Calvados,0
Rhumatologie,Calvados,22
Sante publique et medecine sociale,Calvados,21
Generalistes,Calvados,1110
Medecine generale,Calvados,1110
Ensemble des specialites d'exercice,Calvados,2391
Specialistes,Calvados,1290
Anatomie et cytologie pathologiques,Calvados,18
Anesthesie-reanimation,Calvados,130
Biologie medicale,Calvados,30
Cardiologie et maladies vasculaires,Calvados,79
Chirurgie generale,Calvados,47
Chirurgie maxillo-faciale et stomatologie,Calvados,20
Chirurgie orthopedique et traumatologie,Calvados,28
Chirurgie infantile,Calvados,3
Chirurgie plastique reconstructrice et esthetique,Calvados,4
Chirurgie thoracique et cardio-vasculaire,Calvados,6
Chirurgie urologique,Calvados,11
Chirurgie vasculaire,Calvados,10
Chirurgie viscerale et digestive,Calvados,14
Dermatologie et venereologie,Calvados,41
Endocrinologie et metabolisme,Calvados,18
Genetique medicale,Calvados,3
Geriatrie,Calvados,10
Gynecologie medicale,Calvados,26
Gynecologie-obstetrique,Calvados,50
Hematologie,Calvados,8
Gastro-enterologie et hepatologie,Calvados,45
Medecine du travail,Calvados,67
Medecine interne,Calvados,18
Medecine nucleaire,Calvados,12
Medecine physique et readaptation,Calvados,20
Nephrologie,Calvados,14
Neuro-chirurgie,Calvados,10
Neurologie,Calvados,25
O.R.L et chirurgie cervico faciale,Calvados,36
Oncologie option medicale,Calvados,11
Ophtalmologie,Calvados,60
Pediatrie,Calvados,92
Pneumologie,Calvados,36
Psychiatrie,Calvados,137
Radio-diagnostic et imagerie medicale,Calvados,94
Radio-therapie,Calvados,16
Reanimation medicale,Calvados,0
Recherche medicale,Calvados,0
Rhumatologie,Calvados,21
Sante publique et medecine sociale,Calvados,20
Generalistes,Calvados,1101
Medecine generale,Calvados,1101
Ensemble des specialites d'exercice,Cantal,417
Specialistes,Cantal,171
Anatomie et cytologie pathologiques,Cantal,2
Anesthesie-reanimation,Cantal,21
Biologie medicale,Cantal,2
Cardiologie et maladies vasculaires,Cantal,11
Chirurgie generale,Cantal,3
Chirurgie maxillo-faciale et stomatologie,Cantal,0
Chirurgie orthopedique et traumatologie,Cantal,10
Chirurgie infantile,Cantal,0
Chirurgie plastique reconstructrice et esthetique,Cantal,1
Chirurgie thoracique et cardio-vasculaire,Cantal,1
